"ID_REF"	"WT.GSM130365"	"WT.GSM130366"	"WT.GSM130367"	"KO.GSM130368"	"KO.GSM130369"	"KO.GSM130370"
"103639_at"	78	9.5	88.5	5	34.6	16.6
"103641_at"	7.8	25.1	12.3	28.1	18	7.9
"103642_at"	6171.1	5824.1	6315.7	5508.3	5602.3	6009.5
"103643_at"	492.1	593	600.5	570.6	651.5	633.7
"103644_at"	11.2	19.1	26.5	23.4	17.7	14.7
"103645_at"	43.8	15.3	66.2	20	38.6	33.2
"103646_at"	198	230.7	246.4	254.3	192.8	47.7
"103647_at"	529	614.8	553.4	800.5	725.7	791.5
"103648_at"	224.6	167.4	269.4	155.6	128.1	163.1
"103649_at"	64.7	3.8	8.4	6.9	5.4	2.7
"103650_at"	759.3	923.3	660.1	638	752.4	773
"103651_r_at"	764	558.2	910.4	791	810	694.5
"103653_at"	391.2	201.4	387	606.2	572.5	525.5
"103654_at"	505.8	645.5	634.3	504.7	677	501.4
"103655_at"	402.1	395.7	324.9	481.4	201.1	405.5
"103656_at"	635.8	531	763.8	707.2	738.7	724.3
"103657_i_at"	1324.2	1515.3	1565.1	1752.1	1823.8	1797.2
"103658_r_at"	264.1	267.7	230.8	279.1	337.1	309.3
"103660_at"	308.4	216.6	244.9	360.7	241.5	292.6
"103662_at"	9.5	10.9	13	18.1	18.9	22.6
"103663_at"	258	461	452.3	308.8	354.9	448.4
"103664_r_at"	261.3	275.8	215.3	332	432.4	317.4
"103665_at"	1147.3	1289.6	1036.7	1621.6	1300.7	1696.6
"103666_at"	117	75.1	63.7	101.6	160.6	86.5
"103667_at"	1346	1325.3	1029.1	1153.3	1228.5	1371.7
"103668_at"	1505.6	1536.8	1561.8	1536.7	1340	1416.6
"103669_at"	383.7	409.8	393.1	385.5	372.2	380.1
"103670_at"	112.6	214.9	132.5	209.2	186.6	173.4
"103671_at"	210.3	126.7	112.2	174.8	181.3	153
"103672_at"	1008.3	1108	1003.3	829.1	912.9	892
"103673_at"	209.6	180.9	204.6	92.6	145.3	169.8
"103674_f_at"	362	418.4	357.6	14.1	24.3	59.7
"103675_at"	63.6	16.3	18.5	67.9	129.6	29.6
"103676_at"	22.4	51.9	22.9	24.4	66.9	14.2
"103678_at"	2475.2	2321.9	2333.6	1972.9	1812.3	2064.1
"103679_at"	31.9	50.2	28.9	76.1	54.1	96
"103680_at"	875.8	1086.8	915.6	914.6	842.2	1067.3
"103681_at"	1042.4	986.6	1035.5	928.8	981	1072.3
"103682_at"	392.7	415.5	433.1	410.8	420.8	396.5
"103683_at"	839.6	685.7	648.3	732.8	680.3	637.9
"103684_at"	27.8	18.6	14.7	5.1	20.4	4.3
"103685_at"	7.1	19.8	90.4	6.6	29.8	51.5
"103686_at"	54.8	32.7	113.4	66.5	64.3	75.4
"103688_at"	6.2	3	5.3	35.7	13	18.9
"103689_at"	74.1	67	78.8	175.5	302.4	57
"103690_at"	192.5	128.4	45	113.1	138.1	94.9
"103691_at"	955.2	609.3	703.6	614.8	560	637.3
"103692_at"	370.6	257.6	226.3	211.8	226.6	224.7
"103693_at"	84.7	91.7	71.8	17.1	87.1	101.4
"103694_at"	829.4	1004.7	743.3	710.2	675.3	618.4
"103695_f_at"	1262.9	1378.8	1138.7	1841.7	1907.3	1947.4
"103696_r_at"	85.4	50	7.1	106.6	70.2	54
"103697_at"	189.8	263.8	216.1	295.4	348.7	353.6
"103699_i_at"	107.7	130.5	123.9	197.6	123.1	166
"103700_r_at"	190.1	135	212	154	175.3	99.7
"103701_at"	175.1	274.7	377.1	245.7	202.8	253.7
"103702_i_at"	7.1	93.7	12.4	57.2	62.3	6.5
"103703_f_at"	230.6	91.4	171.9	163.8	26.4	218.2
"103704_at"	581.2	625.7	358.5	357.6	420.5	475.4
